,reply_text,reply_type
38,"['I', 'want', 'some', 'lindt', 'chocolates', 'now']",comment
39,"['NEWS', ':', 'Gunmen', 'take', 'hostages', 'at', 'Sydney', 'cafe', ',', 'wave', 'Islamic', 'flag', 'via']",support
40,"['“', ':', 'BREAKING', 'NEWS', ':', 'Gunmen', 'take', 'hostages', 'at', 'Sydney', 'cafe', ',', 'wave', 'Islamic', 'flag', 'smhhhh']",support
41,"['flag', 'remains', 'unidentified', '.']",deny
42,"['not', 'the', 'Islamic', 'flag', '...']",deny
43,"['pathetic', 'islamist', 'coward']",comment
44,"['is', 'this', 'same', 'as', 'the', '""', 'call', '""', 'to', 'Ray', 'Hadley', 'by', '""', 'POI', '""', 'from', '0am', '?', 'Or', 'new', 'info', '?']",comment
45,[],support
46,"['haha', 'getting', 'your', 'news', 'from', 'is', 'like', 'watching', 'Looney', 'Tunes', 'for', 'Social', 'skills', 'ha']",support
47,"['&', 'really', 'an', 'flag', '?', 'Surely', 'when', 'packing', 'his', 'shot', 'gun', ',', 'that', 'would', 'be', 'the', 'first', 'item', ""he'd"", 'pack', '!']",deny
48,"['Yay', 'Tony', 'will', 'save', 'the', 'day']",comment
49,"['terminate', 'him.doing', 'this', 'innocent', 'ppl.give', 'the', 'coward', 'a', 'uniform', '&', 'amput', 'him', 'on', 'battlefield', 'see', 'how', 'tough', 'he', 'is']",support
50,"['take', 'the', 'shot', '...']",support
51,"['fool', 'bought', 'the', 'wrong', 'flag', 'with', 'him', '.']",comment
52,"['four', 'packages', 'better', 'get', 'Lambie', 'on', 'the', 'case', 'are', 'they', 'large', '?']",comment
53,"['Source', 'from', 'Ray', 'Hadley', 'shows', 'confirmed', 'same', 'report', 'of', 'gunman', 'claiming', 'there', 'are', 'four', 'packages', 'around', 'Sydney']",support
54,"['Deliver', 'him', 'the', 'Australian', 'SAS', 'instead', '.']",comment
55,"['isis', 'love', 'choclate', '...', 'Who', 'knew', '..', 'Lol', '.', 'They', 'gotta', 'make', 'sure', 'its', 'alcohol', 'free', 'ofcourse']",comment
56,"['A', 'breakdown', 'of', 'what', 'we', 'know', 'and', 'what', 'we', 'don', '’', 't', ':', 'People', 'Hostage', 'at', 'Café', 'in']",comment
57,"['Another', 'fine', 'example', 'of', ',', 'the', 'peaceful', 'religion', ',', 'right', '?', 'Where', 'are', 'the', 'speaking', 'out', 'against', 'this', '?']",comment
58,"['this', 'is', 'exactly', 'why', 'Feinstein', 'can', 'shove', 'that', 'up', 'her', 'ass']",comment
59,"['.', 'Yeah', ""it's"", 'the', 'same', 'Johnny', ""F'cknuts"", 'who', 'was', 'going', 'to', 'kidnap', 'and', 'kill', 'police', 'in', 'Birmingham', ',', 'UK', 'last', 'Tuesday', '.']",deny
60,"['get', 'on', 'that', 'one']",comment
61,"['Evacuate', 'the', 'city', ',', 'asap', '!', 'We', 'do', 'not', 'know', 'if', 'he', 'acts', 'on', 'his', 'own', 'yet', 'he', 'threatens', 'he', 'has', 'devices', 'all', 'over', 'Sydney', '.']",comment
62,"['well', '...', ""you're"", 'just', 'a', 'silly', 'paranoid', 'fuck', 'now', ""aren't"", 'you']",support
63,"['I', 'hate', 'terrorism', 'and', 'I', 'am', 'worried', 'about', 'the', 'people', 'of', 'our', 'western', 'civilisation', '.']",comment
64,"['western', 'countries', 'have', 'killed', 'more', 'innocent', 'children', 'than', 'hitler', 'assmunch', '.', 'But', 'you', 'prob', ""don't"", 'consider', 'that', 'terror', '?', '?']",query
65,"['.', 'Please', 'take', 'Hashtag', 'for', 'Plane', 'crash', '.', 'Thank', 'you']",deny
66,"['Safety', 'record', 'is', 'not', 'perfect', '.']",support
67,"['nice', 'try', ',', 'not', 'buying', '...']",comment
68,"['“', ':', 'Uber', 'says', 'it', 'has', 'hiked', 'prices', 'in', 'Sydney', 'to', '""', 'encourage', 'more', 'drivers', 'to', 'come', 'online', '&', 'pick', 'up', 'passengers', '.', '""', 'Right', '.']",comment
69,['Deplorable'],comment
70,"[""they're"", 'asking', 'people', 'to', 'stay', 'indoors', 'and', ""don't"", 'go', 'to', 'the', 'CBD', '.', 'Why', 'would', 'you', 'send', 'drivers', 'there', '?', '?', 'Really', 'disappointed', 'of']",support
71,"[""what's"", 'not', 'well-timed', 'is', 'what', 'Huber', 'is', 'doing', 'in', 'a', 'crisis', 'situation', '.', 'Uber', 'has', 'absolutely', 'no', 'integrity', '.', 'Disgusting', '.']",comment
72,"['“', ':', 'Uber', 'says', 'it', 'has', 'hiked', 'prices', 'in', 'Sydney', 'to', '""', 'encourage', 'more', 'drivers', 'to', 'come', 'online', '&', 'pick', 'up', '”', 'Uber', '=', 'ugly', 'opportunism', '!']",support
73,"['""', 'Grease', 'my', 'palm', 'with', 'silver', 'lovie', '.', '""', 'The', 'disgraceful', 'pricks', '.', 'Run', ""'"", 'em', 'outta', 'town', 'folks', '.']",deny
74,['scum'],support
75,"['.', '-', 'I', 'am', 'OTR', 'about', 'distaste', 'of', 'surge', 'pricing', ',', 'but', 'do', 'you', 'think', 'your', 'click', 'bait', 'story', 'about', 'Uber', 'in', 'Sydney', 'is', 'well', 'timed', '+', 'tasteful', '?']",comment
76,"['Uber', 'is', 'facing', 'problems', 'enough', ',', 'will', 'a', 'price', 'hike', 'really', 'help', '?']",deny
77,"['you', 'might', 'want', 'to', 'rethink', 'your', 'hashtag']",comment
78,"['They', 'charged', 'me', '$', '215', 'for', 'a', '$', '20', 'fare', '.', 'Neveer', 'use', 'them', 'again', 'after', ""they've"", 'eloited', 'situations', '.']",comment
79,"['.', 'How', 'altruistic', 'of', 'them', '!']",comment
80,"['Fuck', 'you', '“', ':', 'Uber', 'says', 'it', 'has', 'hiked', 'prices', 'in', 'Sydney', 'to', '""', 'encourage', 'more', 'drivers', 'to', 'come', 'online', '&', 'pick', 'up', 'passengers', '.', '""']",support
81,"['Whaaaat', '?', 'Is', 'trying', 'to', '""', 'shoot', 'the', 'moon', '""', 'when', 'it', 'comes', 'to', 'PR', '?']",deny
82,"['Surge', 'pricing', 'during', 'a', 'hostage', 'crisis', '•', 'RT', ':', 'Uber', 'says', 'it', 'has', 'hiked', 'prices', 'in', 'Sydney', '...']",support
83,"['If', 'car', ""can't"", 'get', 'to', 'rider', ',', 'rider', ""can't"", 'walk', 'to', 'car', '&', 'unable', 'to', 'schedule', 'pickups', ',', 'what', 'is', 'an', 'rider', 'to', 'do', '?']",query
84,"[""You're"", 'reporting', 'a', 'report', '?', ""What's"", 'your', 'source', '?']",query
85,"[""here's"", 'to', 'all', 'the', 'hostages', 'getting', 'safe', 'passage', 'on', 'this', 'day', '!']",support
86,"['“', ':', 'Reports', 'two', 'customers', 'and', 'an', 'employee', 'have', 'escaped', 'the']",support
87,"['stranger', 'by', 'the', 'second']",comment
88,"['Of', 'course', 'he', 'did', '.', 'It', 'gave', 'people', 'time', 'to', 'solidify', 'the', 'opinions', 'that', 'they', 'already', 'had', '.', 'It', 'was', 'a', 'calculated', 'move', '.']",comment
89,"['you', 'know', 'the', 'cop', 'didnt', 'have', 'to', 'know', 'about', 'robbery', 'for', 'this', 'video', 'to', 'have', 'value', '.', ""you're"", 'not', 'very', 'good', 'at', 'being', 'stupid', '.']",comment
90,"['But', ""she's"", 'very', 'good', 'at', 'instigating', 'and', 'baiting', '...', 'just', 'like', 'her', 'mother', '.', 'Smh']",query
91,"['i', 'had', 'no', 'idea', 'that', 'was', 'her', 'mom', '.']",comment
92,"['Yep', '!', '!', 'Splitting', 'image', 'in', 'everything', 'except', 'one', 'has', 'black', 'hair', 'and', 'other', 'blonde', '...']",query
93,"[""that's"", 'unfortunate', '.', 'signed', ',', 'ferguson', 'PD']",comment
94,"[""it's"", 'about', 'changing', 'the', 'narrative', '.']",comment
95,"['And', 'it', 'is', 'down', 'right', 'disrespectful', 'to', 'the', 'young', 'man', 'and', 'his', 'family', '.']",comment
96,"['connects', 'the', 'robbery', 'w', 'shooting', '.', 'dont', 'have', 'to', 'be', 'a', 'genius', '.', 'a', 'guy', 'who', 'shoves', 'clerk', 'is', ""s'posed"", 'to', 'raise', 'his', 'hands', 'later', '?']",comment
97,"['Shoving', 'a', 'clerk', 'means', ""you'll"", 'take', 'on', 'a', 'police', 'officer', 'with', 'a', 'gun', '?']",query
98,"['it', 'prevented', 'future', 'crimes', 'by']",comment
99,"['not', 'necessarily', '.', 'but', 'it', 'might', 'show', 'a', 'particular', 'disposition', 'towards', 'authority', 'figures', '.']",comment
100,"['and', 'who', 'would', 'blame', 'them', 'when', 'those', 'authority', 'figures', 'are', 'gunning', 'surrendering', 'suspects', 'down', '?']",query
101,"['since', 'the', ""'"", 'witness', ""'"", 'version', 'is', 'incomplete', '/', 'inaccurate', 'the', 'whole', ""'"", 'hands', 'up', ""'"", 'part', 'prob', ""isn't"", 'true', 'either']",comment
102,"['I', 'rolled', 'through', 'a', 'stop', 'sign', 'once', ',', 'the', 'cop', 'was', 'shouting', 'at', 'me', 'like', 'I', 'killed', 'someone', '.', 'I', 'was', 'terrified', '.', 'They', '.']",support
103,"['sad', 'that', 'happened', 'to', 'you', '.', 'no', 'doubt', 'there', 'are', 'racist', '/', 'ignorant', 'cops', '.', 'but', 'not', 'all', ',', 'maybe', 'not']",comment
104,"['Polluting', 'potential', 'jurors', 'by', 'any', 'Chief', 'of', 'LEOs', 'should', 'be', 'an', 'intentional', 'malice', 'reprimand', ',', '+', 'the', 'county', 'DA', 'may', 'be', 'his', 'Advisor']",deny
105,"['Have', 'to', 'show', 'Mike', 'without', 'clean', 'hands', 'somehow', '.']",comment
106,"['Chief', 'needs', 'to', 'be', 'removed', 'from', 'his', 'job', '...', 'I', 'never', 'meant', 'this', 'happen', '..', ""don't"", 'insult', 'our', 'intelligence']",support
107,"['I', 'want', 'to', 'believe', 'its', 'total', 'incompetence', '.', 'But', 'its', 'was', 'all', 'on', 'purpose', 'to', 'change', 'public', 'opinion', '.', 'My', 'guess', 'is', 'it', 'will', 'continue']",comment
108,"['Did', 'the', 'media', 'ask', 'for', 'the', 'video', 'under', 'FOIA', 'as', 'the', 'Chief', 'of', 'Police', 'said', '?', 'And', 'why', 'was', 'video', 'released', 'without', 'commentary', 'in', 'am', '?']",query
109,"['did', 'of', 'release', 'the', 'report', 'filed', 'by', 'Wilson', '?']",query
110,"[""It's"", 'a', 'strategy', 'to', 'manipulate', 'media', 'and', 'misinform', 'people', '.']",query
111,"['he', ""didn't"", 'say', 'he', ""didn't"", 'know', 'about', 'the', 'robbery', ',', 'it', 'went', 'out', 'over', 'radio', ',', 'he', 'said', 'he', ""didn't"", 'know', 'was', 'a', 'suspect']",comment
112,"['For', 'that', 'reason', 'precisely', ',', 'media', 'should', 'refrain', 'from', 'connecting', 'the', 'two', '.', 'Stay', 'with', 'the', 'shooting', 'story', '.']",comment
113,"['the', 'chief', 'said', 'this', 'am', 'that', 'cop', 'was', 'at', 'a', 'call', 'for', 'sick', 'person', ',', 'then', 'got', 'the', 'call', 'for', 'store', 'strong', 'arm', 'robbery']",support
114,"['Incorrect', '.', 'Was', 'on', 'sick', 'person', 'call', '&', 'then', 'driving', 'came', 'across', 'Brown', '&', 'friend', 'walking', '&', 'asked', 'they', 'get', 'off', 'the', 'road']",support
115,"['i', 'relistened', 'to', 'the', 'press', 'conf', '&', 'ur', 'right', 'i', 'was', 'wrong']",comment
116,"[""It's"", 'like', 'the', ""'"", 'connect', 'the', 'dots', ""'"", 'books', '.', 'If', 'they', 'sold', 'cliff', 'notes', ',', ""they'd"", 'be', 'outdated', 'by', 'day', 'end', '.', 'Bumbling', 'idiots']",comment
117,"['seems', 'like', 'theres', 'soo', 'much', 'about', 'this', 'case', 'it', 'gets', 'confusing', 'yet', 'there', 'isnt', 'enough', 'info', '?', '?']",support
118,"['Lisa', 'is', 'he', 'the', 'confirmed', 'robber', '?']",query
119,"['The', 'people', 'responsible', 'for', 'killing', 'should', 'not', 'be', 'in', 'control', 'of', 'the', 'evidence', 'proving', 'what', 'happenend', '.']",comment
120,[],comment
121,"['but', 'mike', 'brown', 'knew', 'about', 'the', 'robbery', 'and', ""DIDN'T"", 'know', 'the', 'cop', ""didn't"", 'know', '-', ""that's"", 'what', 'makes', 'it', 'POSSIBLY', 'relevant']",deny
122,"[""that's"", 'what', 'I', 'thought', 'too', '...']",support
123,"['LOL', '.', 'million', 'Muslims', 'in', 'France', ',', 'what', 'a', 'disgrace', '.', 'the', 'french', 'worm', 'president', 'and', 'politicians', 'killed', 'them', '.', 'tine', 'for', 'croissants', 'now']",comment
124,"['MT', 'France', ':', 'dead', 'after', 'shooting', 'at', 'HQ', 'of', 'satirical', 'weekly', '.', 'If', 'Zionists', '/', 'Jews', 'did', 'this', ""they'd"", 'be', 'nuking', 'Israel']",comment
125,"['They', 'who', '?', 'Stupid', 'and', 'partial', 'opinions', 'like', 'this', 'one', 'only', 'add', 'noise', 'to', 'any', 'debate', '.']",deny
126,"['Socialists', ',', 'Antisemites', ',', 'anti', 'zionists', '-', 'usual', 'suspects']",comment
127,"['A', 'French', 'crime', 'of', 'passion', 'or', 'another', 'heathen', 'moslem', 'atrocity', '?']",query
128,"['EXCUSE', 'ME', ',', ""WHERE'S"", 'MY', 'INVITE', '(', 'to', 'the', 'latter', ',', 'duh', ')']",comment
129,"['gonna', 'try', 'to', 'make', 'it', 'to', 'both', '.']",comment
130,"['you', 'should', 'send', 'Prince', 'a', 'set', 'of', 'tennis', 'balls', 'for', 'the', 'legs', 'of', 'his', 'walker', '.', 'Easier', 'to', 'slide', 'across', 'stage', '.']",comment
131,"['Girl', ',', ""don't"", 'be', 'mean', '.', 'Age', ""ain't"", 'nothing', 'but', 'a', 'number', '.']",comment
132,"['that', 'makes', 'no', 'sense']",comment
133,"['game', 'postponed', ',', 'not', 'cancelled', '.']",support
134,"['I', 'had', 'a', 'feeling', 'that', 'was', 'going', 'to', 'happen', ',', 'would', 'of', 'been', 'a', 'big', 'risk', 'for', 'all', 'fans', '.', 'Safety', 'first', '!']",comment
135,"['FACK', '!', '!', '!']",comment
136,"['that', 'disappoints', 'you', '...', 'today', '?', 'Wow', '...']",comment
137,"['Ya', 'it', 'does', 'bother', 'me', '.', 'Was', 'looking', 'forward', 'to', ""tonight's"", 'game', '.']",comment
138,"['you', 'need', 'to', 're-evaluate', '...']",comment
139,"['You', 'need', 'to', 'flake', 'off', 'ass', '...']",comment
140,"['stay', 'classy', '...', ""I'm"", 'sorry', 'that', 'a', 'tragedy', 'ruined', 'your', 'ability', 'to', 'watch', 'a', 'sporting', 'event', '.']",comment
141,"[""Didn't"", 'I', 'say', '""', 'FLAKE', 'OFF', '""']",comment
142,"['at', 'least', 'your', 'polite', 'self', 'absorbed', 'person', '.']",comment
143,"['So', 'now', 'you', 'judge', 'me', 'for', 'fucking', 'RT', 'with', 'comment', ',', 'one', '.', 'Why', ""don't"", 'you', 'look', 'at', 'yourself', 'in', 'the', 'mirror', 'and', 'judge', 'that', 'instead']",comment
144,"['this', 'was', 'the', 'right', 'thing', 'to', 'do']",support
145,"['as', 'they', 'should', '!', '!', '!']",comment
146,"['Now', ""i's"", 'confirmed', 'as', 'a', 'National', 'Emergency', '.']",comment
147,"['As', 'it', 'should', 'be', ',', 'having', 'a', 'game', 'on', 'the', 'same', 'day', 'as', 'a', 'is', 'just', 'asking', 'for', 'trouble', '.']",comment
148,"['How', 'unfortunate', ',', 'but', 'understandable', '.']",comment
149,"['Elderly', 'people', 'are', 'subjected', 'to', 'toxic', 'poison', 'times', 'legal', 'limits', 'but', 'that', 'does', 'not', 'seem', 'important', 'to', 'CBC', ',', 'CBS', ',', 'or', 'TC', '.']",comment
150,"['You', 'can', 'add', 'A', 'Chanel', 'News', '&', 'Chek', 'News', 'to', 'that', 'group', 'also', '.', 'Letting', 'people', 'be', 'subject', 'to', 'toxic', 'poison', 'is', 'such', 'a', 'Victoria', 'thing', '.']",comment
151,"['You', 'know', ""it's"", 'serious', 'when', 'they', 'cancel', 'hockey', '""', ':', 'cancels', ""tonight's"", 'game', 'between', 'Ottawa', 'and', 'Toronto', 'due', 'to', ""today's"", 'shootings', '.', '""']",comment
152,"['a', 'bullet', 'is', 'just', 'as', 'evel', 'as', 'a', 'bomb', 'we', 'bomb', 'them', 'they', 'shot', 'us', 'but', 'we', 'make', 'a', 'big', 'deal', 'of', 'both']",comment
153,"['there', 'are', 'times', 'we', 'shld', 'put', 'our', 'stupidness', 'aside', 'nd', 'be', 'feel', 'bad', 'fr', 'wats', 'happening', 'at', 'the', 'moment', '...', '!', '!', '!']",comment
154,"[""what's"", 'stupid', 'is', 'we', 'are', 'at', 'war', 'but', 'moan', 'when', ""it's"", 'on', 'our', 'own', 'soil', 'now', 'they', 'are', 'using', 'chemicals', 'so', ""it's"", 'WHEN', ',', 'BEWARE']",comment
155,"['true', '..', '!', '!', '!', 'bt', 'its', 'nt', 'nice', 'to', 'say', '""', 'i', 'told', 'u', 'so', '""', '..', 'wen', 'ur', 'country', 'is', 'at', 'siege', '...', '!', '!', 'we', 'can', 'say', 'it', 'later', '..', '!', '!']",comment
156,"[""it's"", 'not', 'a', 'siege', ""it's"", 'WAR', 'This', 'is', 'the', 'problem', 'you', 'and', 'other', 'are', 'denying', 'the', 'fact', 'we', 'are', 'at', 'war', 'WHY']",comment
157,"['if', 'we', 'are', 'WAR', '..', '!', '!', '!', 'who', 'are', 'we', 'against', '...', '?', 'whom', 'do', 'u', 'blame', '..', '?']",comment
158,"['slag', 'the', 'Islamic', 'people', 'then', 'sit', 'back', 'and', 'watch', 'what', 'happens', '.', 'Bomb', 'Islamic', 'people', 'and', 'watch', 'what', 'happens', ',']",comment
159,"['lets', 'nt', 'tag', 'one', 'religion', 'like', 'tat', '..', 'as', 'if', 'other', 'religions', 'are', 'holy', '..', '!', '!', '!']",comment
160,"['i', 'knw', 'u', 'wld', 'say', 'tat', '...', '!', '!', 'just', 'becoz', 'sum', 'radicalised', 'idiots', 'are', 'dng', 'this', 'doesnt', 'mean', 'tat', 'we', 'can', 'blame', 'd', 'entire', 'religion', 'fr', 'it', '..']",comment
161,"['they', 'may', 'not', 'be', 'radicalised', '.', 'This', 'is', 'only', 'what', 'you', 'are', 'fed', 'by', 'media', 'which', 'governments', 'control', 'you', 'need', 'to', 'open', 'your', 'mind', 'to', 'truth']",comment
162,"['then', 'educate', 'me', '..', '?', '?', '?']",comment
163,"['easily', '.', ""Don't"", 'go', 'to', 'war', 'in', 'other', ""country's"", 'and', 'think', 'it', ""won't"", 'come', 'home', 'to', 'you', '.', 'Police', 'shot', 'person', 'in', 'America', 'with', 'hands', 'up', '.']",comment
164,"['i', 'wnt', 'blame', 'u', 'fr', 'saying', 'this', '..', 'bt', 'u', 'forgot', 'hw', 'many', ""ppl's"", 'lives', 'are', 'being', 'saved', 'by', 'these', 'men', '...', '!', '!', '!']",comment
165,"['America', 'BRITTIAN', 'had', 'supplied', 'these', 'men', 'in', 'Syria', 'with', 'the', 'weapons', 'to', 'start', 'with', 'and', 'now', 'they', 'are', 'bombing', 'them', '.', 'Hmmmm', 'hypocrisy']",comment
166,"['police', 'is', 'quite', 'lazy', '.']",deny
167,"['MT', 'shots', 'fired', 'at', 'sites', 'National', 'War', 'Memorial', ',', 'Parliament', 'Hill', ',', 'and', 'now', 'Rideau', 'shopping', 'centre']",comment
168,"[""what's"", 'happening', 'in', 'this', 'world', 'and', 'why', 'this', 'so', 'much', 'haterage', 'everywhere', '.', 'So', 'sickening']",support
169,[],comment
170,"['oh', 'god', '.']",support
171,"['{', 'Heaven', 'and', 'Hell', 'is', 'right', 'here', 'on', 'earth', '...', ""'"", 'ing', '}']",support
172,"['Scary', 'stuff', 'in', 'Ottawa']",deny
173,"['And', 'at', 'a', 'hotel', 'too', '.']",deny
174,"['muslim', 'terrorists']",comment
175,"['at', 'sites', '-', 'National', 'War', 'Memorial', ',', 'Parliament', 'Hill', ',', 'and', 'Rideau', 'shopping', 'centre']",comment
176,"['Shit', '...']",comment
177,"['Yes', ',', 'I', ""can't"", 'believe', 'this', 'is', 'happening', '...']",deny
178,"['We', 'always', 'feel', 'the', 'same', 'over', 'here', 'when', 'similar', 'happens', '.', 'Hope', 'its', 'all', 'over.soon', '.']",comment
179,"['One', 'shooter', 'is', 'dead', '.', 'Shot', 'by', 'the', 'Sargent', 'at', 'Arms', '.']",comment
180,"['BBC', 'saying', 'indications', 'of', 'more', 'than', 'one', 'gunman', '.']",comment
181,"['Yes', ',', 'Still', 'looking', 'for', 'the', 'others', '.']",comment
182,"['Kindly', 'verify', 'your', 'report', 'of', 'shooting', 'at', 'Rideau', 'Centre', 'Ottawa', ',', 'Canada', '.', 'Local', 'reports', 'state', 'otherwise', '.']",deny
183,"['sad', 'world', 'we', 'live', 'in', 'most', 'of', 'the', 'time', '.']",comment
184,"['Disgusting', 'desert', 'pigs', '.', 'Why', 'the', 'peaceful', ',', 'polite', 'Canadians', '?']",support
185,"['we', 'are', 'just', '""', 'crew', '""', 'to', 'you', '?', '?', '?', 'Four', 'flight', 'attendants', '&', 'two', 'pilots', 'all', 'with', 'families', '&', 'friends', '.', 'WE', 'COUNT', ',', 'TOO', '!']",comment
186,"['so', 'we', 'still', 'not', 'sure', 'of', 'the', 'motivation', 'for', 'the', 'attack', '?']",query
187,"['doing', 'what', 'their', 'man', 'made', 'twisted', 'fairy', 'tale', 'tells', 'them', 'to', 'do', '.']",comment
188,"['I', 'hope', 'everyone', 'gets', 'out', 'safely', '.']",comment
189,"['but', 'its', 'such', 'a', 'peaceful', 'religion', '/', 's']",comment
190,"['""', 'islamic', 'flag', '""']",comment
191,"['Yes', '""', 'Islamic', '""', 'flag', '.', 'Black', 'a', 'traditional', 'colour', 'of', 'Islam', 'and', 'I', 'presume', 'a', 'Koranic', 'verse', 'also', '.']",support
192,"['Green', 'is', 'the', 'traditional', 'colour', '.', 'Presumptions', 'are', 'worthless']",deny
193,"['Read', 'the', 'tweet', 'again', '""', 'a', '""', 'as', 'is', 'green', ',', 'red', '..', 'Are', 'you', 'saying', 'the', 'text', 'is', 'not', 'presumably', 'Koranic', '?']",comment
